feature_name,importance,cumulative_importance
hsa-mir-3150b,0.09700775687379086,0.09700775687379086
hsa-mir-6784,0.06844927858782549,0.16545703546161633
hsa-mir-1225,0.06781171083849419,0.23326874630011052
hsa-mir-466,0.05259083361984012,0.28585957991995065
hsa-mir-3149,0.03911241542289714,0.32497199534284776
hsa-mir-4670,0.03858727715588048,0.3635592724987282
hsa-mir-6749,0.037628197272093204,0.4011874697708214
hsa-mir-6825,0.03485355076644391,0.43604102053726534
hsa-mir-1468,0.034458402694405026,0.4704994232316704
hsa-mir-3913-2,0.03316537026858015,0.5036647935002505
hsa-mir-3651,0.028167429090967835,0.5318322225912183
hsa-mir-6796,0.02215757465885394,0.5539897972500722
hsa-mir-6715a,0.02152764409546494,0.5755174413455372
hsa-mir-548au,0.02136404588389532,0.5968814872294325
hsa-mir-3158-2,0.020401180003600396,0.6172826672330328
hsa-mir-6808,0.020286937913572074,0.6375696051466049
hsa-mir-6499,0.01927146824925961,0.6568410733958645
hsa-mir-6809,0.0182192979450329,0.6750603713408974
hsa-mir-1912,0.016896527112958394,0.6919568984538558
hsa-mir-4529,0.016379955808609237,0.7083368542624651
hsa-mir-6837,0.01456238333145989,0.7228992375939249
hsa-mir-193a,0.014075311246062585,0.7369745488399875
hsa-mir-6832,0.01344477240993278,0.7504193212499203
hsa-mir-3655,0.011403048241228014,0.7618223694911483
hsa-mir-1256,0.01133556405977494,0.7731579335509233
hsa-mir-4678,0.011188951341203996,0.7843468848921273
hsa-mir-4775,0.011141325624534227,0.7954882105166615
hsa-mir-1913,0.01082410383578698,0.8063123143524485
hsa-mir-1227,0.010629478118066802,0.8169417924705153
hsa-mir-767,0.010325093763009396,0.8272668862335247
hsa-mir-664a,0.010173122089795435,0.8374400083233202
hsa-mir-4661,0.010018252413301442,0.8474582607366217
hsa-mir-146b,0.009713200323919157,0.8571714610605409
hsa-mir-6887,0.009624221269609306,0.8667956823301501
hsa-mir-3163,0.009589665863673049,0.8763853481938232
hsa-mir-3923,0.009526611830994918,0.8859119600248181
hsa-mir-15b,0.009286838748391807,0.8951987987732098
hsa-mir-891b,0.009281670680577439,0.9044804694537872
hsa-mir-6773,0.009217881460211162,0.9136983509139984
hsa-mir-548ab,0.009193042951835706,0.9228913938658341
hsa-mir-1224,0.009181020164640378,0.9320724140304745
hsa-mir-6716,0.009168612938489824,0.9412410269689643
hsa-mir-6844,0.009123355796667646,0.950364382765632
hsa-mir-942,0.009093558347161383,0.9594579411127934
hsa-mir-6830,0.009080966208237038,0.9685389073210304
hsa-mir-7108,0.00844785107058283,0.9769867583916133
hsa-mir-451a,0.008234766570401173,0.9852215249620144
hsa-mir-4743,0.007633529437561726,0.9928550543995761
hsa-mir-8085,0.007144945600423722,0.9999999999999998
