feature_name,importance,cumulative_importance
hsa-mir-25,0.08002228549560998,0.08002228549560998
hsa-mir-3652,0.043183046958579684,0.12320533245418966
hsa-mir-545,0.03690405013679561,0.16010938259098528
hsa-mir-34a,0.029851374146391378,0.18996075673737667
hsa-mir-570,0.02601998153726497,0.21598073827464165
hsa-mir-501,0.02507606039794905,0.2410567986725907
hsa-mir-296,0.023152517397671216,0.26420931607026193
hsa-mir-4645,0.022732904440948214,0.28694222051121016
hsa-mir-6855,0.02208212421979528,0.30902434473100543
hsa-mir-5187,0.02205916264949793,0.33108350738050335
hsa-mir-574,0.02191931388603829,0.35300282126654164
hsa-mir-362,0.021857337467047783,0.3748601587335894
hsa-mir-532,0.021498289769980486,0.3963584485035699
hsa-mir-203a,0.02102662721789329,0.41738507572146316
hsa-mir-423,0.016668913218932335,0.4340539889403955
hsa-mir-363,0.016628285402748896,0.4506822743431444
hsa-mir-365b,0.01621901131523261,0.466901285658377
hsa-mir-153-2,0.015691033338358546,0.48259231899673555
hsa-mir-26b,0.014883349186092984,0.4974756681828285
hsa-mir-1910,0.014656233642157904,0.5121319018249865
hsa-mir-100,0.013877725737925312,0.5260096275629118
hsa-mir-3680-2,0.01345882241832554,0.5394684499812373
hsa-mir-6501,0.013366240967293809,0.5528346909485311
hsa-mir-320b-2,0.013296667056873834,0.5661313580054049
hsa-mir-3913-1,0.01315201251211372,0.5792833705175187
hsa-mir-6802,0.012978269549558828,0.5922616400670775
hsa-mir-509-3,0.012491239410520466,0.6047528794775979
hsa-mir-6503,0.012491103154200201,0.6172439826317981
hsa-mir-7641-1,0.012439911111458632,0.6296838937432567
hsa-mir-581,0.01239245968938219,0.6420763534326389
hsa-mir-5706,0.01236023435447073,0.6544365877871097
hsa-mir-3678,0.011661729206474649,0.6660983169935843
hsa-mir-514a-2,0.011210308865741361,0.6773086258593257
hsa-mir-1250,0.011018637169247765,0.6883272630285735
hsa-mir-5586,0.010530724595705218,0.6988579876242788
hsa-mir-6755,0.01045202314131808,0.7093100107655969
hsa-mir-4674,0.010040432781631999,0.7193504435472289
hsa-mir-181d,0.009756955062920437,0.7291073986101493
hsa-mir-3155a,0.00958889257117551,0.7386962911813247
hsa-mir-4521,0.009464783340304726,0.7481610745216295
hsa-mir-1179,0.009137054225591891,0.7572981287472214
hsa-mir-33a,0.00897040600614949,0.7662685347533709
hsa-mir-147b,0.008351430240512818,0.7746199649938836
hsa-mir-153-1,0.008093261989357965,0.7827132269832416
hsa-mir-7112-1,0.008047275683491896,0.7907605026667336
hsa-mir-1301,0.007710163325965059,0.7984706659926987
hsa-mir-378d-1,0.007677764483622563,0.8061484304763212
hsa-mir-6804,0.007602725379114377,0.8137511558554356
hsa-mir-3187,0.007326098988111143,0.8210772548435467
hsa-mir-1226,0.006888833420249922,0.8279660882637966
hsa-mir-142,0.006700382263188665,0.8346664705269853
hsa-mir-125b-2,0.006648060375048409,0.8413145309020337
hsa-mir-4796,0.0065846562529458695,0.8478991871549796
hsa-mir-141,0.006448292544546632,0.8543474796995262
hsa-mir-9-2,0.0063974603257158065,0.8607449400252419
hsa-mir-93,0.006386206938407253,0.8671311469636492
hsa-mir-6803,0.006361507960686878,0.8734926549243361
hsa-mir-150,0.0062243777094195775,0.8797170326337557
hsa-mir-4804,0.006208377136025293,0.885925409769781
hsa-mir-4787,0.006199476358851844,0.8921248861286328
hsa-mir-335,0.006179709571406626,0.8983045957000395
hsa-mir-660,0.006110079004613221,0.9044146747046528
hsa-mir-502,0.006053028062315679,0.9104677027669684
hsa-mir-26a-1,0.00568529863705613,0.9161530014040246
hsa-mir-10b,0.005423953173532217,0.9215769545775567
hsa-mir-3912,0.005420189109629165,0.9269971436871859
hsa-mir-191,0.005348346606516798,0.9323454902937027
hsa-mir-4424,0.005325640466173673,0.9376711307598764
hsa-mir-139,0.005303784746039846,0.9429749155059163
hsa-mir-584,0.00521422440997034,0.9481891399158866
hsa-mir-548ay,0.005132342173905075,0.9533214820897917
hsa-mir-4664,0.005105571379599512,0.9584270534693913
hsa-mir-194-2,0.0050816616765144,0.9635087151459056
hsa-mir-548j,0.0050810443312836445,0.9685897594771893
hsa-mir-664a,0.004995061997735436,0.9735848214749248
hsa-mir-4797,0.004710403344707506,0.9782952248196323
hsa-mir-6726,0.004530044086065423,0.9828252689056977
hsa-mir-577,0.004500929362804713,0.9873261982685023
hsa-mir-548au,0.004332936713453241,0.9916591349819556
hsa-mir-606,0.0042566539680362276,0.9959157889499918
hsa-mir-328,0.004084211050008287,1.0
