feature_name,importance,cumulative_importance
HARBI1_283254,0.024369613494570543,0.024369613494570543
OTOAP1_653786,0.018980915023256148,0.04335052851782669
LOXL4_84171,0.01818481788979596,0.06153534640762265
C1orf50_79078,0.017210069206086955,0.0787454156137096
ETFB_2109,0.016999526459199672,0.09574494207290926
VPS45_11311,0.016342058557113563,0.11208700063002283
CTAGE9_643854,0.015489282105012884,0.1275762827350357
UBE3C_9690,0.01546564233872661,0.14304192507376232
RNF126P1_376412,0.015387209535753352,0.15842913460951566
AP3S1_1176,0.015061097591053474,0.17349023220056914
ITGB3_3690,0.015043445662889808,0.18853367786345895
MYH15_22989,0.014519570290738592,0.20305324815419754
TOMM40L_84134,0.01351643676268369,0.21656968491688122
RALGAPA1_253959,0.01348058004028373,0.23005026495716496
SEL1L3_23231,0.012349911214015062,0.24240017617118004
WASH2P_375260,0.012226570928396012,0.25462674709957606
GLOD4_51031,0.012108534607119413,0.26673528170669547
FOXRED1_55572,0.011786386144002948,0.27852166785069843
ACTN3_89,0.011778027303056413,0.29029969515375487
NDNF_79625,0.011679438817528679,0.30197913397128356
SLC25A28_81894,0.011564844871506726,0.3135439788427903
FAM41C_284593,0.011311737291528826,0.32485571613431913
EZR_7430,0.011290849055710412,0.33614656519002956
TAS2R19_259294,0.011077526969982196,0.34722409216001177
HCLS1_3059,0.011062873075296858,0.3582869652353086
OAZ3_51686,0.010851340401753251,0.36913830563706185
NEFH_4744,0.010497848256006612,0.3796361538930685
ARHGEF35_445328,0.010392578500697636,0.3900287323937661
ZNF138_7697,0.010375590925134865,0.40040432331890097
VWA3A_146177,0.010359957456971394,0.41076428077587235
VPS53_55275,0.009891667550367309,0.42065594832623965
SYNCRIP_10492,0.009863852850292856,0.4305198011765325
CDRT1_374286,0.00972375322416362,0.4402435544006961
SUZ12P1_440423,0.009672446603346435,0.44991600100404255
ZFP90_146198,0.009370648457752127,0.4592866494617947
ATL1_51062,0.009333362392992003,0.4686200118547867
NPIPB3_23117,0.009306104987768854,0.47792611684255554
BTBD11_121551,0.009155554843863456,0.48708167168641897
SYT11_23208,0.00913788101855895,0.4962195527049779
HEXIM1_10614,0.009118788055549588,0.5053383407605275
LOC441294_441294,0.008973443994279094,0.5143117847548067
ZMYM2_7750,0.008944699318128569,0.5232564840729352
ITM2B_9445,0.0088098054092488,0.532066289482184
SOS2_6655,0.008667947700273274,0.5407342371824573
ZNF280D_54816,0.00866762099678256,0.5494018581792398
MRPL27_51264,0.008637789536751147,0.5580396477159909
PKD1_5310,0.008585814063973973,0.5666254617799649
KCNIP1_30820,0.008399909928582304,0.5750253717085472
HSPA12B_116835,0.008397325497743,0.5834226972062901
SLC25A43_203427,0.008369669068997655,0.5917923662752878
KDM2B_84678,0.008307117509780441,0.6000994837850682
ECHDC2_55268,0.008190121598993778,0.608289605384062
DDIT4_54541,0.007972901017394006,0.616262506401456
TAGLN2_8407,0.007891577455616633,0.6241540838570726
FGF11_2256,0.007789869590802811,0.6319439534478755
IFFO1_25900,0.007610115301932197,0.6395540687498077
FADD_8772,0.007559079486532499,0.6471131482363401
RNFT1_51136,0.007251694760286226,0.6543648429966263
YBEY_54059,0.007229565617817841,0.6615944086144442
PTGIS_5740,0.007176355043143193,0.6687707636575874
SPIN2A_54466,0.00713282327620189,0.6759035869337893
SRPK2_6733,0.0071044869967424665,0.6830080739305318
ADCY7_113,0.007039578607070431,0.6900476525376021
CN5H6.4_150384,0.006944014582608438,0.6969916671202105
TRMT10A_93587,0.006921796450066163,0.7039134635702767
AP3M1_26985,0.0067341967716519156,0.7106476603419286
MMACHC_25974,0.006691502667588391,0.7173391630095171
PHLDA3_23612,0.006674244794909527,0.7240134078044266
PAFAH2_5051,0.00659818134042498,0.7306115891448516
NUP210_23225,0.0065361538047935385,0.7371477429496451
C1GALT1_56913,0.006500518012951916,0.7436482609625971
ECSCR_641700,0.006490572432664999,0.7501388333952621
LOC595101_595101,0.006428380381134406,0.7565672137763965
FHAD1_114827,0.0063999358346158355,0.7629671496110123
SLC4A8_9498,0.006355261181971996,0.7693224107929844
SPR_6697,0.00633093800655565,0.77565334879954
MACROH2A1_9555,0.006251565193086076,0.7819049139926261
LOC100130872_100130872,0.006204276637246565,0.7881091906298726
NDST3_9348,0.0061739394208698084,0.7942831300507425
CD109_135228,0.006171416953738873,0.8004545470044814
SLC8A2_6543,0.006132245350878016,0.8065867923553593
STK33_65975,0.006087928028624997,0.8126747203839844
PLA2G4A_5321,0.0060365615731219,0.8187112819571063
MORF4_10934,0.005899712448000416,0.8246109944051068
NPAS1_4861,0.005878446285489714,0.8304894406905965
CHM_1121,0.00587820530756595,0.8363676459981625
ZG16B_124220,0.005788151947812882,0.8421557979459754
CCN3___PLXNA1___RPL10_4856,0.005784437492623571,0.847940235438599
PPEF2_5470,0.005719348871558601,0.8536595843101575
POLR2J2_246721,0.005610735286186161,0.8592703195963437
TET3_200424,0.005605180600353,0.8648755001966967
RHOF_54509,0.005531289793018036,0.8704067899897148
JKAMP_51528,0.005527366861619797,0.8759341568513346
ZNF85_7639,0.005484632470254085,0.8814187893215887
CD74_972,0.005467407984692942,0.8868861973062816
KLF9_687,0.005400973373588238,0.8922871706798698
MED21_9412,0.005383829710986363,0.8976710003908562
ZSCAN23_222696,0.005290629224015836,0.902961629614872
PCNA_5111,0.005280781602162384,0.9082424112170344
PIK3R5_23533,0.005220084875007804,0.9134624960920422
RPA2_6118,0.005120486777721777,0.918582982869764
ARMC2_84071,0.0050905135373667774,0.9236734964071308
