feature_name,importance,cumulative_importance
hsa-mir-148a,0.10536145225742548,0.10536145225742548
hsa-mir-146b,0.07690441077492516,0.18226586303235065
hsa-mir-15b,0.054881639334037884,0.23714750236638854
hsa-mir-155,0.049112213879322505,0.28625971624571106
hsa-mir-346,0.04784476512351156,0.3341044813692226
hsa-mir-196a-1,0.029209742848449186,0.3633142242176718
hsa-mir-664a,0.02575488376582047,0.38906910798349226
hsa-mir-4666b,0.024782235193369022,0.4138513431768613
hsa-mir-135b,0.024177100478690785,0.43802844365555205
hsa-mir-6892,0.02304152821200084,0.4610699718675529
hsa-mir-1915,0.02229187171385057,0.48336184358140344
hsa-mir-3923,0.018568747589845953,0.5019305911712494
hsa-mir-216b,0.01825084246245473,0.5201814336337041
hsa-mir-3186,0.01810592855067608,0.5382873621843801
hsa-mir-339,0.017164694567630392,0.5554520567520105
hsa-mir-16-1,0.01648407568147784,0.5719361324334883
hsa-mir-10a,0.015693050027523907,0.5876291824610121
hsa-mir-1295a,0.014466390836552708,0.6020955732975648
hsa-mir-616,0.014280535813462907,0.6163761091110277
hsa-mir-320b-2,0.014279780055234632,0.6306558891662624
hsa-mir-4748,0.014143435455998627,0.644799324622261
hsa-mir-6829,0.013475528706962467,0.6582748533292234
hsa-mir-5003,0.011314673616630683,0.669589526945854
hsa-mir-887,0.011286571635932918,0.680876098581787
hsa-mir-320a,0.010849797367546812,0.6917258959493338
hsa-mir-3690-1,0.01082148326621699,0.7025473792155508
hsa-mir-16-2,0.00970205486913399,0.7122494340846848
hsa-mir-548y,0.009361758823823967,0.7216111929085087
hsa-mir-1537,0.009339457576781039,0.7309506504852897
hsa-mir-301b,0.009165182566442163,0.7401158330517319
hsa-mir-3180-4,0.009109907252202773,0.7492257403039346
hsa-mir-6863,0.008250475618009505,0.7574762159219441
hsa-mir-335,0.006870522724065403,0.7643467386460095
hsa-mir-3934,0.0067263097072287085,0.7710730483532383
hsa-mir-15a,0.005736071184353324,0.7768091195375917
hsa-mir-4454,0.005628426058944471,0.7824375455965361
hsa-mir-491,0.005529177829593947,0.7879667234261301
hsa-mir-6731,0.0054653755465777516,0.7934320989727078
hsa-mir-216a,0.005281843820521302,0.7987139427932292
hsa-mir-320d-2,0.0051036376363061044,0.8038175804295352
hsa-mir-3662,0.005057421438636931,0.8088750018681722
hsa-mir-1248,0.004944938080689736,0.8138199399488619
hsa-mir-4423,0.004944041973688717,0.8187639819225506
hsa-mir-8072,0.004902197853956179,0.8236661797765068
hsa-mir-105-1,0.004741071306588778,0.8284072510830955
hsa-mir-6723,0.004662142945113664,0.8330693940282092
hsa-mir-423,0.004511763122058474,0.8375811571502677
hsa-mir-4791,0.004481660761556468,0.8420628179118241
hsa-mir-139,0.00447704794200219,0.8465398658538263
hsa-mir-4754,0.004353502325345298,0.8508933681791716
hsa-mir-196a-2,0.00434409196102596,0.8552374601401975
hsa-mir-4800,0.004291142143508093,0.8595286022837056
hsa-mir-142,0.004137897103141259,0.8636664993868469
hsa-mir-320c-1,0.0040457135750679545,0.8677122129619149
hsa-mir-548f-1,0.003928659563051827,0.8716408725249667
hsa-mir-30c-2,0.003624606837134142,0.8752654793621009
hsa-mir-509-1,0.0034740108132342595,0.8787394901753351
hsa-mir-1538,0.003356265931874046,0.8820957561072091
hsa-mir-500a,0.003323377369994073,0.8854191334772032
hsa-mir-320d-1,0.0033074269764824574,0.8887265604536857
hsa-mir-1304,0.0032839282049281684,0.8920104886586139
hsa-mir-1266,0.00321903326680116,0.895229521925415
hsa-mir-4677,0.00320628223174136,0.8984358041571564
hsa-mir-7974,0.0031101816792901238,0.9015459858364465
hsa-mir-30a,0.0031074145356249673,0.9046534003720715
hsa-mir-379,0.0030844744662752725,0.9077378748383468
